,id,citation,abstract,doi,title,
10,NFAT-translocation-Tomida-EMBO-J-2003,"Taichiro Tomida, Kenzo Hirose, Azusa Takizawa, Futoshi Shibasaki & Masamitsu Iino. NFAT functions as a working memory of Ca2+ signals in decoding Ca2+ oscillation. EMBO J 22, 15 (2003): 3825-3832.","Transcription by the nuclear factor of activated T cells (NFAT) is regulated by the frequency of Ca(2+) oscillation. However, why and how Ca(2+) oscillation regulates NFAT activity remain elusive. NFAT is dephosphorylated by Ca(2+)-dependent phosphatase calcineurin and translocates from the cytoplasm to the nucleus to initiate transcription. We analyzed the kinetics of dephosphorylation and translocation of NFAT. We show that Ca(2+)-dependent dephosphoryl ation proceeds rapidly, while the rephosphorylation and nuclear transport of NFAT proceed slowly. Therefore, after brief Ca(2+) stimulation, dephosphoryl ated NFAT has a lifetime of several minutes in the cytoplasm. Thus, Ca(2+) oscillation induces a build-up of dephosphorylated NFAT in the cytoplasm, allowing effective nuclear translocation, provided that the oscillation interval is shorter than the lifetime of dephos phorylated NFAT. We also show that Ca(2+) oscillation is more cost-effective in inducing the translocation of NFAT than continuous Ca(2+) signaling. Thus, the lifetime of dephosphorylated NFAT functions as a working memory of Ca(2+) signals and enables the control of NFAT nuclear translocation by the frequency of Ca(2+) oscillation at a reduced cost of Ca(2+) signaling.",10.1093/emboj/cdg381, NFAT functions as a working memory of Ca2+ signals in decoding Ca2+ oscillation,
11,Nicotinic-excitation-Edelstein-Biol-Cybern-1996,"Edelstein SJ, Schaad O, Henry E, Bertrand D & Changeux JP. A kinetic mechanism for nicotinic acetylcholine receptors based on multiple allosteric transitions. Biological cybernetics 1996, 75 (11): 361-379.","
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper proposes a kinetic model for nicotinic acetylcholine receptors (nAChRs) based on multiple allosteric transitions. The model takes into account the conformational changes that occur in the nAChR during the binding and unbinding of ligands, and describes the receptor's responses to changes in the concentration of ligands and the voltage across the cell membrane. The proposed model is a valuable tool for understanding the behavior of nAChRs and other ligand-gated ion channels.",10.1007/s004220050302, A kinetic mechanism for nicotinic acetylcholine receptors based on multiple allosteric transitions,
12,NHEJ-Dolan-PLoS-Comput-Biol-2015,"David W. P. Dolan, Anze Zupanic, Glyn Nelson, Philip Hall, Satomi Miwa, Thomas B. L. Kirkwood & Daryl P. Shanley. Integrated Stochastic Model of DNA Damage Repair by Non-homologous End Joining and p53/p21- Mediated Early Senescence Signalling. PLoS Comput Biol 11, 5 (2015): e1004246.","Unrepaired or inaccurately repaired DNA damage can lead to a range of cell fates, such as apoptosis, cellular senescence or cancer, depending on the efficiency and accuracy of DNA damage repair and on the downstream DNA damage signalling. DNA damage repair and signalling have been studied and modelled in detail separately, but it is not yet clear how they integrate with one another to control cell fate. In this study, we have created an integrated stochastic model of DNA damage repair by non-homologous end joining and of gamma irradiation-induced cellular senescence in human cells that are not apoptosis-prone. The integrated model successfully explains the changes that occur in the dynamics of DNA damage repair after irradiation. Simulations of p53/p21 dynamics after irradiation agree well with previously published experimental studies, further validating the model. Additionally, the model predicts, and we offer some experimental support, that low-dose fractionated irradiation of cells leads to temporal patterns in p53/p21 that lead to significant cellular senescence. The integrated model is valuable for studying the processes of DNA damage induced cell fate and predicting the effectiveness of DNA damage related medical interventions at the cellular level.",10.1371/journal.pcbi.1004246, Integrated Stochastic Model of DNA Damage Repair by Non-homologous End Joining and p53/p21- Mediated Early Senescence Signalling,
13,Pituitary-GH3-cells-Wu-Biochem-Pharmacol-2006,"Sheng-Nan Wu & Han-Dong Chang. Diethyl pyrocarbonate, a histidine-modifying agent, directly stimulates activity of ATP-sensitive potassium channels in pituitary GH(3) cells. Biochem Pharmacol 71, 5 (2006) 615-623.","
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper by Sheng-Nan Wu and Han-Dong Chang discusses the effects of diethyl pyrocarbonate (DEPC), a histidine-modifying agent, on the activity of ATP-sensitive potassium channels in pituitary GH(3) cells. The authors found that DEPC directly stimulated the activity of these channels, leading to an increase in potassium efflux and cell hyperpolarization. This effect was independent of the presence of ATP or sulfonylureas, which are typically involved in regulating the activity of these channels. The authors suggest that DEPC may be a useful tool for studying the regulation of ATP-sensitive potassium channels and their role in cellular processes.",10.1016/j.bcp.2005.11.016," Diethyl pyrocarbonate, a histidine-modifying agent, directly stimulates activity of ATP-sensitive potassium channels in pituitary GH(3) cells",
14,RBC-metabolism-Bordbar-Cell-Syst-2015,"Aarash Bordbar, Douglas McCloskey, Daniel C Zielinski, Nikolaus Sonnenschein, Neema Jamshidi & Bernhard O Palsson. Personalized Whole-Cell Kinetic Models of Metabolism for Discovery in Genomics and Pharmacodynamics. Cell Syst 1, 4 (2015): 283-292.","
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper discusses the use of personalized whole-cell kinetic models of metabolism for genomics and pharmacodynamics research. These models incorporate individual genetic and metabolic data to predict cellular behavior and drug response. The authors highlight the potential utility of these models in drug development and personalized medicine, as well as the challenges and opportunities for further research in this field.",10.1016/j.cels.2015.10.003, Personalized Whole-Cell Kinetic Models of Metabolism for Discovery in Genomics and Pharmacodynamics,
15,Repressilator-Elowitz-Nature-2000,"Michael B Elowitz & Stanislas Leibler. A synthetic oscillatory network of transcriptional regulators. Nature 403, 6767 (2000) 335-338.","
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper describes the creation of a synthetic oscillatory network made up of genetic components that control gene expression in order to achieve a periodic output. The network was designed and constructed using a combination of mathematical modeling and experimental techniques, and was shown to accurately replicate the predicted oscillatory behavior. The authors suggest that this work could have important implications for the development of artificial cells and other systems for controlling gene expression.",10.1038/35002125, A synthetic oscillatory network of transcriptional regulators,
16,Tumor-suppressive-oscillations-Caravagna-J-Theor-Biol-2010,"Giulio Caravagna, Alberto d'Onofrio, Paolo Milazzo & Roberto Barbuti. Journal of Theoretical Biology 265, 3 (2010) 336-345.","
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper discusses the use of mathematical models to predict the behavior of cancer cells in response to therapies. The authors propose a method that combines knowledge of tumor growth dynamics with information on treatment effectiveness to optimize treatment strategies for individual patients. They demonstrate the effectiveness of their approach through simulations and suggest that it could eventually lead to personalized cancer treatment plans.",10.1007/s002850050127,Tumour suppression by immune system through stochastic oscillations,
17,mTOR-signaling-Varusai-Sci-Rep-2018,"Thawfeek M Varusai & Lan K Nguyen. Dynamic modelling of the mTOR signalling network reveals complex emergent behaviours conferred by DEPTOR. Sci Rep 8, 1 (2018): 643.","The mechanistic Target of Rapamycin (mTOR) signalling network is an evolutionarily conserved network that controls key cellular processes, including cell growth and metabolism. Consisting of the major kinase complexes mTOR Complex 1 and 2 (mTORC1/2), the mTOR network harbours complex interactions and feedback loops. The DEP domain-containing mTOR-interacting protein (DEPTOR) was recently identified as an endogenous inhibitor of both mTORC1 and 2 through direct interactions, and is in turn degraded by mTORC1/2, adding an extra layer of complexity to the mTOR network. Yet, the dynamic properties of the DEPTOR-mTOR network and the roles of DEPTOR in coordinating mTORC1/2 activation dynamics have not been characterised. Using computational modelling, systems analysis and dynamic simulations we show that DEPTOR confers remarkably rich and complex dynamic behaviours to mTOR signalling, including abrupt, bistable switches, oscillations and co-existing bistable/oscillatory responses. Transitions between these distinct modes of behaviour are enabled by modulating DEPTOR expression alone. We characterise the governing conditions for the observed dynamics by elucidating the network in its vast multi-dimensional parameter space, and develop strategies to identify core network design motifs underlying these dynamics. Our findings provide new systems-level insights into the complexity of mTOR signalling contributed by DEPTOR.",10.1038/s41598-017-18400-z, Dynamic modelling of the mTOR signalling network reveals complex emergent behaviours conferred by DEPTOR,
18,e_coli_core,"Jeffrey D. Orth, R. M. T. Fleming & Bernhard Ø. Palsson. Reconstruction and Use of Microbial Metabolic Networks: the Core Escherichia coli Metabolic Model as an Educational Guide. EcoSal Plus 4, 1 (2010).","
Abstract not found in PubMed. The following is obtained from ChatGPT.

The paper describes the development and use of the Core Escherichia coli metabolic model, a tool for understanding and analyzing bacterial metabolism. The authors discuss the process of reconstructing metabolic networks, the importance of accurately representing metabolic reactions, and the educational value of using a simplified model to teach basic concepts of systems biology. The paper ultimately highlights the crucial role of metabolic modeling in advancing our understanding of microbial physiology and developing new treatments for diseases.",10.1128/ecosalplus.10.2.1, Reconstruction and Use of Microbial Metabolic Networks: the Core Escherichia coli Metabolic Model as an Educational Guide,
19,iAB_RBC_283,"Aarash Bordbar, Neema Jamshidi & Bernhard O Palsson. iAB-RBC-283: A proteomically derived knowledge-base of erythrocyte metabolism that can be used to simulate its physiological and patho-physiological states. BMC Systems Biology 5: 110 (2011).","BACKGROUND: The development of high-throughput technologies capable of whole cell measurements of genes, proteins, and metabolites has led to the emergence of systems biology. Integrated analysis of the resulting omic data sets has proved to be hard to achieve. Metabolic network reconstructions enable complex relationships amongst molecular components to be represented formally in a biologically relevant manner while respecting physical constraints. In silico models derived from such reconstructions can then be queried or interrogated through mathematical simulations. Proteomic profiling studies of the mature human erythrocyte have shown more proteins present related to metabolic function than previously thought; however the significance and the causal consequences of these findings have not been explored. RESULTS: Erythrocyte proteomic data was used to reconstruct the most expansive description of erythrocyte metabolism to date, following extensive manual curation, assessment of the literature, and functional testing. The reconstruction contains 281 enzymes representing functions from glycolysis to cofactor and amino acid metabolism. Such a comprehensive view of erythrocyte metabolism implicates the erythrocyte as a potential biomarker for different diseases as well as a 'cell-based' drug-screening tool. The analysis shows that 94 erythrocyte enzymes are implicated in morbid single nucleotide polymorphisms, representing 142 pathologies. In addition, over 230 FDA-approved and experimental pharmaceuticals have enzymatic targets in the erythrocyte. CONCLUSION: The advancement of proteomic technologies and increased generation of high-throughput proteomic data have created the need for a means to analyze these data in a coherent manner. Network reconstructions provide a systematic means to integrate and analyze proteomic data in a biologically meaning manner. Analysis of the red cell proteome has revealed an unexpected level of complexity in the functional capabilities of human erythrocyte metabolism.",10.1186/1752-0509-5-110, iAB-RBC-283: A proteomically derived knowledge-base of erythrocyte metabolism that can be used to simulate its physiological and patho-physiological states,
20,iAF1260,"Adam M Feist, Christopher S Henry, Jennifer L Reed, Markus Krummenacker, Andrew R Joyce, Peter D Karp, Linda J Broadbelt, Vassily Hatzimanikatis & Bernhard Ø Palsson. A genome-scale metabolic reconstruction for Escherichia coli K-12 MG1655 that accounts for 1260 ORFs and thermodynamic information. Molecular Systems Biology 3: 121 (2007).","An updated genome-scale reconstruction of the metabolic network in Escherichia coli K-12 MG1655 is presented. This updated metabolic reconstruction includes: (1) an alignment with the latest genome annotation and the metabolic content of EcoCyc leading to the inclusion of the activities of 1260 ORFs, (2) characterization and quantification of the biomass components and maintenance requirements associated with growth of E. coli and (3) thermodynamic information for the included chemical reactions. The conversion of this metabolic network reconstruction into an in silico model is detailed. A new step in the metabolic reconstruction process, termed thermodynamic consistency analysis, is introduced, in which reactions were checked for consistency with thermodynamic reversibility estimates. Applications demonstrating the capabilities of the genome-scale metabolic model to predict high-throughput experimental growth and gene deletion phenotypic screens are presented. The increased scope and computational capability using this new reconstruction is expected to broaden the spectrum of both basic biology and applied systems biology studies of E. coli metabolism.",10.1038/msb4100155, A genome-scale metabolic reconstruction for Escherichia coli K-12 MG1655 that accounts for 1260 ORFs and thermodynamic information,
21,iAF1260b,"Adam M. Feist, Daniel C. Zielinski, Jeffrey D. Orth, Jan Schellenberger, Markus J. Herrgard & Bernhard Ø. Palsson. Model-driven evaluation of the production potential for growth-coupled products of Escherichia coli. Metabolic Engineering 12, 3: 173-186 (2010).","Integrated approaches utilizing in silico analyses will be necessary to successfully advance the field of metabolic engineering. Here, we present an integrated approach through a systematic model-driven evaluation of the production potential for the bacterial production organism E. coli to produce multiple native products from different representative feedstocks through coupling metabolite production to growth rate. Designs were examined for eleven unique central metabolism and amino acid targets from three different substrates under aerobic and anaerobic conditions. Optimal strain designs were reported for designs which possess maximum yield, substrate-specific productivity, and strength of growth-coupling for up to ten reaction eliminations (knockouts). In total, growth-coupled designs could be identified for 36 out of the total 54 conditions tested, corresponding to eight out of the eleven targets. There were 17 different substrate/target pairs for which over 80% of the theoretical maximum potential could be achieved. The developed method introduces a new concept of objective function tilting for strain design. This study provides specific metabolic interventions (strain designs) for production strains that can be experimentally implemented, characterizes the potential for E. coli to produce native compounds, and outlines a strain design pipeline that can be utilized to design production strains for additional organisms.",10.1016/j.ymben.2009.10.003, Model-driven evaluation of the production potential for growth-coupled products of Escherichia coli,
22,iAF987,"Adam M. Feist, Harish Nagarajan, Amelia-Elena Rotaru, Pier-Luc Tremblay, Tian Zhang, Kelly P. Nevin, Derek R. Lovley & Karsten Zengler. Constraint-based modeling of carbon fixation and the energetics of electron transfer in Geobacter metallireducens. PLoS Computational Biology 10, 4: e1003575 (2014).","Geobacter species are of great interest for environmental and biotechnology applications as they can carry out direct electron transfer to insoluble metals or other microorganisms and have the ability to assimilate inorganic carbon. Here, we report on the capability and key enabling metabolic machinery of Geobacter metallireducens GS-15 to carry out CO(2) fixation and direct electron transfer to iron. An updated metabolic reconstruction was generated, growth screens on targeted conditions of interest were performed, and constraint-based analysis was utilized to characterize and evaluate critical pathways and reactions in G. metallireducens. The novel capability of G. metallireducens to grow autotrophically with formate and Fe(III) was predicted and subsequently validated in vivo. Additionally, the energetic cost of transferring electrons to an external electron acceptor was determined through analysis of growth experiments carried out using three different electron acceptors (Fe(III), nitrate, and fumarate) by systematically isolating and examining different parts of the electron transport chain. The updated reconstruction will serve as a knowledgebase for understanding and engineering Geobacter and similar species.",10.1371/journal.pcbi.1003575, Constraint-based modeling of carbon fixation and the energetics of electron transfer in Geobacter metallireducens,
23,iAM_Pb448,"Alyaa M. Abdel-Haleem, Hooman Hefzi, Katsuhiko Mineta, Xin Gao, Takashi Gojobori, Bernhard O. Palsson, Nathan E. Lewis & Neema Jamshidi. Functional interrogation of Plasmodium genus metabolism identifies species- and stage-specific differences in nutrient essentiality and drug targeting. PLOS Computational Biology 14, 1: e1005895 (2018).","Several antimalarial drugs exist, but differences between life cycle stages among malaria species pose challenges for developing more effective therapies. To understand the diversity among stages and species, we reconstructed genome-scale metabolic models (GeMMs) of metabolism for five life cycle stages and five species of Plasmodium spanning the blood, transmission, and mosquito stages. The stage-specific models of Plasmodium falciparum uncovered stage-dependent changes in central carbon metabolism and predicted potential targets that could affect several life cycle stages. The species-specific models further highlight differences between experimental animal models and the human-infecting species. Comparisons between human- and rodent-infecting species revealed differences in thiamine (vitamin B1), choline, and pantothenate (vitamin B5) metabolism. Thus, we show that genome-scale analysis of multiple stages and species of Plasmodium can prioritize potential drug targets that could be both anti-malarials and transmission blocking agents, in addition to guiding translation from non-human experimental disease models.",10.1371/journal.pcbi.1005895, Functional interrogation of Plasmodium genus metabolism identifies species- and stage-specific differences in nutrient essentiality and drug targeting,
24,iAM_Pc455,"Alyaa M. Abdel-Haleem, Hooman Hefzi, Katsuhiko Mineta, Xin Gao, Takashi Gojobori, Bernhard O. Palsson, Nathan E. Lewis & Neema Jamshidi. Functional interrogation of Plasmodium genus metabolism identifies species- and stage-specific differences in nutrient essentiality and drug targeting. PLOS Computational Biology 14, 1: e1005895 (2018).","Several antimalarial drugs exist, but differences between life cycle stages among malaria species pose challenges for developing more effective therapies. To understand the diversity among stages and species, we reconstructed genome-scale metabolic models (GeMMs) of metabolism for five life cycle stages and five species of Plasmodium spanning the blood, transmission, and mosquito stages. The stage-specific models of Plasmodium falciparum uncovered stage-dependent changes in central carbon metabolism and predicted potential targets that could affect several life cycle stages. The species-specific models further highlight differences between experimental animal models and the human-infecting species. Comparisons between human- and rodent-infecting species revealed differences in thiamine (vitamin B1), choline, and pantothenate (vitamin B5) metabolism. Thus, we show that genome-scale analysis of multiple stages and species of Plasmodium can prioritize potential drug targets that could be both anti-malarials and transmission blocking agents, in addition to guiding translation from non-human experimental disease models.",10.1371/journal.pcbi.1005895, Functional interrogation of Plasmodium genus metabolism identifies species- and stage-specific differences in nutrient essentiality and drug targeting,
25,iAM_Pf480,"Alyaa M. Abdel-Haleem, Hooman Hefzi, Katsuhiko Mineta, Xin Gao, Takashi Gojobori, Bernhard O. Palsson, Nathan E. Lewis & Neema Jamshidi. Functional interrogation of Plasmodium genus metabolism identifies species- and stage-specific differences in nutrient essentiality and drug targeting. PLOS Computational Biology 14, 1: e1005895 (2018).","Several antimalarial drugs exist, but differences between life cycle stages among malaria species pose challenges for developing more effective therapies. To understand the diversity among stages and species, we reconstructed genome-scale metabolic models (GeMMs) of metabolism for five life cycle stages and five species of Plasmodium spanning the blood, transmission, and mosquito stages. The stage-specific models of Plasmodium falciparum uncovered stage-dependent changes in central carbon metabolism and predicted potential targets that could affect several life cycle stages. The species-specific models further highlight differences between experimental animal models and the human-infecting species. Comparisons between human- and rodent-infecting species revealed differences in thiamine (vitamin B1), choline, and pantothenate (vitamin B5) metabolism. Thus, we show that genome-scale analysis of multiple stages and species of Plasmodium can prioritize potential drug targets that could be both anti-malarials and transmission blocking agents, in addition to guiding translation from non-human experimental disease models.",10.1371/journal.pcbi.1005895, Functional interrogation of Plasmodium genus metabolism identifies species- and stage-specific differences in nutrient essentiality and drug targeting,
