biomodels_id,project_id,runid
"BIOMD0000000048","BIOMD0000000048_copasi_Quantification_of_short_term_s","6471078d49c0d898ffdd9ac0"
"BIOMD0000000049","BIOMD0000000049_tellurium_Model_analysis_of_difference_b","6471078f9a62a8be53f74310"
"BIOMD0000000050","BIOMD0000000050_tellurium_Kinetic_modelling_of_Amadori_N","6471079649c0d898ffdd9b98"
"BIOMD0000000051","BIOMD0000000051_amici_Dynamic_modeling_of_the_centra","6471079b0dcacb55678b456c"
"BIOMD0000000052","BIOMD0000000052_amici_Reactions_of_monosaccharides_d","6471079f9a62a8be53f744e1"
"BIOMD0000000053","BIOMD0000000053_tellurium_A_quantitative_model_of_the_ge","647107a049c0d898ffdd9d28"
"BIOMD0000000054","BIOMD0000000054_tellurium_A_possible_role_of_adenylate_m","647107a449c0d898ffdd9e00"
"BIOMD0000000055","BIOMD0000000055_copasi_Extension_of_a_genetic_network","647107a89a62a8be53f7461b"
"BIOMD0000000057","BIOMD0000000057_amici_A_dynamic_model_of_the_type_2_","647107b00dcacb55678b47ee"
"BIOMD0000000058","BIOMD0000000058_copasi_A_bifurcation_analysis_of_two_","647107b249c0d898ffdda049"
"BIOMD0000000059","BIOMD0000000059_tellurium_Modeling_of_Ca2_flux_in_pancre","647107b49a62a8be53f7478a"
"BIOMD0000000060","BIOMD0000000060_tellurium_Ryanodine_receptor_adaptation_","647107b749c0d898ffdda0f6"
"BIOMD0000000061","BIOMD0000000061_amici_Full_scale_model_of_glycolysis","647107bd49c0d898ffdda1f3"
"BIOMD0000000062","BIOMD0000000062_amici_Dynamic_regulation_of_the_tryp","647107c049c0d898ffdda22c"
"BIOMD0000000063","BIOMD0000000063_tellurium_Fermentation_pathway_kinetics_","647107c149c0d898ffdda237"
"BIOMD0000000064","BIOMD0000000064_amici_Can_yeast_glycolysis_be_unders","647107c69a62a8be53f74a1f"
"BIOMD0000000065","BIOMD0000000065_copasi_Mathematical_model_of_the_lac_","647107c99a62a8be53f74a89"
"BIOMD0000000066","BIOMD0000000066_tellurium_Control_of_the_threonine_synth","647107cb49c0d898ffdda3e8"
"BIOMD0000000067","BIOMD0000000067_amici_A_synthetic_gene_metabolic_osc","647107d19a62a8be53f74b76"
"BIOMD0000000068","BIOMD0000000068_copasi_A_kinetic_model_of_the_branch_","647107d30dcacb55678b4bb3"
"BIOMD0000000069","BIOMD0000000069_tellurium_Bistable_switching_and_excitab","647107d60dcacb55678b4bda"
"BIOMD0000000071","BIOMD0000000071_amici_Contribution_of_glucose_transp","647107df9a62a8be53f74d26"
"BIOMD0000000072","BIOMD0000000072_copasi_A_quantitative_characterizatio","647107e149c0d898ffdda6a4"
"BIOMD0000000073","BIOMD0000000073_tellurium_Toward_a_detailed_computationa","647107e40dcacb55678b4d35"
"BIOMD0000000074","BIOMD0000000074_copasi_Toward_a_detailed_computationa","647107e89a62a8be53f74eb3"
"BIOMD0000000076","BIOMD0000000076_tellurium_Metabolic_control_analysis_of_","647107ee9a62a8be53f74f95"
"BIOMD0000000078","BIOMD0000000078_tellurium_Toward_a_detailed_computationa","647107f30dcacb55678b4f2c"
"BIOMD0000000079","BIOMD0000000079_amici_A_model_for_the_dynamics_of_hu","647107f80dcacb55678b4fed"
"BIOMD0000000080","BIOMD0000000080_copasi_Rapid_kinetics_of_alpha_2_adre","647107fa9a62a8be53f75064"
"BIOMD0000000081","BIOMD0000000081_amici_Regulation_of_KCNQ2_KCNQ3_curr","647107ff9a62a8be53f750aa"
"BIOMD0000000082","BIOMD0000000082_tellurium_A_ternary_complex_model_explai","647108009a62a8be53f750be"
"BIOMD0000000083","BIOMD0000000083_copasi_Toward_a_detailed_computationa","6471080549c0d898ffddaa45"
"BIOMD0000000084","BIOMD0000000084_amici_Principles_behind_the_multifar","647108099a62a8be53f75178"
"BIOMD0000000087","BIOMD0000000087_tellurium_Modelling_the_checkpoint_respo","6471081249c0d898ffddab1e"
"BIOMD0000000089","BIOMD0000000089_copasi_Experimental_validation_of_a_p","6471081b0dcacb55678b5301"
"BIOMD0000000090","BIOMD0000000090_tellurium_Mathematical_analysis_of_a_mec","6471081e0dcacb55678b53d7"
"BIOMD0000000091","BIOMD0000000091_tellurium_Modelling_the_actions_of_chape","6471082249c0d898ffddad38"
"BIOMD0000000092","BIOMD0000000092_copasi_Activation_process_of_pepsinog","647108269a62a8be53f7550d"
"BIOMD0000000093","BIOMD0000000093_amici_Control_mechanism_of_JAK_STAT_","6471082a49c0d898ffddaf15"
"BIOMD0000000094","BIOMD0000000094_copasi_Control_mechanism_of_JAK_STAT_","6471082d0dcacb55678b554d"
"BIOMD0000000095","BIOMD0000000095_tellurium_A_novel_computational_model_of","6471083049c0d898ffddb018"
"BIOMD0000000096","BIOMD0000000096_copasi_A_novel_computational_model_of","647108349a62a8be53f75810"
"BIOMD0000000097","BIOMD0000000097_tellurium_A_novel_computational_model_of","6471083749c0d898ffddb107"
"BIOMD0000000098","BIOMD0000000098_copasi_Simulation_of_intracellular_Ca","6471083b49c0d898ffddb17c"
"BIOMD0000000099","BIOMD0000000099_tellurium_A_molecular_network_that_produ","6471083e0dcacb55678b5884"
"BIOMD0000000100","BIOMD0000000100_copasi_A_theoretical_study_of_effects","6471084149c0d898ffddb249"
"BIOMD0000000101","BIOMD0000000101_tellurium_Signal_processing_in_the_TGF_b","6471084449c0d898ffddb28d"
"BIOMD0000000102","BIOMD0000000102_tellurium_Mathematical_modeling_identifi","647108470dcacb55678b59b2"
"BIOMD0000000103","BIOMD0000000103_amici_Mathematical_modeling_identifi","6471084c49c0d898ffddb34f"
"BIOMD0000000105","BIOMD0000000105_amici_An_in_silico_model_of_the_ubiq","6471085349c0d898ffddb418"
"BIOMD0000000106","BIOMD0000000106_copasi_Dynamic_simulations_on_the_ara","647108560dcacb55678b5acb"
"BIOMD0000000107","BIOMD0000000107_tellurium_Numerical_analysis_of_a_compre","647108599a62a8be53f75bbc"
"BIOMD0000000108","BIOMD0000000108_tellurium_Alternative_pathways_as_mechan","6471085d49c0d898ffddb4ac"
"BIOMD0000000109","BIOMD0000000109_amici_A_systems_biology_dynamical_mo","647108630dcacb55678b5bb7"
"BIOMD0000000111","BIOMD0000000111_copasi_Mathematical_model_of_the_cell","6471086a49c0d898ffddb62f"
"BIOMD0000000112","BIOMD0000000112_tellurium_Systems_theory_of_Smad_signall","6471086c9a62a8be53f75e00"
"BIOMD0000000113","BIOMD0000000113_tellurium_Protein_phosphorylation_driven","6471086f9a62a8be53f75e9f"
